CS 59000-019,Computing For Life Sci I,fall
CS 59000-020,Computing For Life Sci II,Daisuke Kihara,fall
CS 59000-BB0,Cloud Syst Blind/Hrng Impaired,Bharat Bhargava,fall
CS 59000-DK0,Tpcs Protein Bioinformatics,Daisuke Kihara,fall
CS 59000-KP0,Next Gen Wireless Networks,Kihong Park,fall
CS 59000-PE0,Cloud Computing,fall
CS 59000-RK0,Clean-Slate Network Architectr,fall
CS 59100-001,Dist Systems & Netwkng Seminar,Dongyan Xu,fall
CS 59100-RS1,Res Sem 1st-Yr Gr Stud,Elisha Sacks,fall
CS 59100-SEC,Info Sec&Cybr Crime Sem,Ninghui Li,fall
CS 69000-AP0,Intro Bioinformatics Algorithm,Alex Pothen,fall
CS 11000,Introduction to Computers,Marta A. Crowe,spring
CS 15800,C Programming,William N Crum,spring
CS 15900,Programming Applications For Engineers,William N Crum,spring
CS 17700,Programming with Multimedia Objects,"H. E. Dunsmore, Lorenzo D. Martino",spring
CS 18000,Programming I,Christopher W. Clifton,spring
CS 18200,Foundations of Computer Science,"Mikhail Atallah, Elisha Sacks",spring
CS 19000-001,Contemporary Issues Computing,"Susanne E. Hambrusch, Christoph M. Hoffmann, Eugene H. Spafford",spring
CS 19700,Freshman Honors Seminar,Daniel G. Aliaga,spring
CS 23500,Introduction to Organizational Computing,spring
CS 24000,Programming in C,spring
CS 25000,Computer Architecture,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 25100,Data Structures,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 29000-003,Service Learn Outreach,spring
CS 30700,Software Engineering I,H. E. Dunsmore,spring
CS 31400,Numerical Methods,Alex Pothen,spring
CS 33400,Fundamentals Of Computer Graphics,Voicu S. Popescu,spring
CS 34800,Information Systems,Bharat Bhargava,spring
CS 35200,Compilers: Principles and Practice,spring
CS 35400,Operating Systems,Dongyan Xu,spring
CS 38100,Introduction to the Analysis of Algorithms,Greg N. Frederickson,spring
CS 39000-002,Service Learn Outreach,spring
CS 39100-001,Junior Resources Semnr,William N Crum,spring
CS 42200,Computer Networks,spring
CS 43400,Advanced Computer Graphics,Voicu S. Popescu,spring
CS 44800,Introduction to Relational Database Systems,Elisa Bertino,spring
CS 45600,Programming Languages,spring
CS 49700,Honors Research Project,Daniel G. Aliaga,spring
CS 50200,Compiling and Programming Systems,Zhiyuan Li,spring
CS 50300,Operating Systems,Douglas E. Comer,spring
CS 50500,Distributed Systems,spring
CS 51000,Software Engineering,Xiangyu Zhang,spring
CS 51400,Numerical Analysis,Suchuan Dong,spring
CS 52500,Parallel Computing,Ananth Grama,spring
CS 52600,Information Security,Eugene H. Spafford,spring
CS 53100,Computational Geometry,Elisha Sacks,spring
CS 53600,Data Communication and Computer Networks,Sonia Fahmy,spring
CS 54100,Database Systems,Sunil Prabhakar,spring
CS 54200,Distributed Database Systems,Walid G. Aref,spring
CS 54300,Introduction to Simulation and Modeling of Computer Systems,Vernon J. Rego,spring
CS 55500,Cryptography,"Samuel S. Wagstaff, Jr.",spring
CS 56500,Programming Languages,spring
CS 58000,"Algorithm Design, Analysis, and Implementation",Susanne E. Hambrusch,spring
CS 59000-022,Shape Interrogatn Computations,Christoph M. Hoffmann,spring
CS 59000-023,Experimental Sys Projects Sem,Douglas E. Comer,spring
CS 59000-025,Probabilistic Methds Cmptr Sci,Wojciech Szpankowski,spring
CS 59000-027,Protein Bioinformatics,Daisuke Kihara,spring
CS 59000-030,Statistical Network Analysis,Jennifer Neville,spring
CS 59000-031,Intro Machine Learning,spring
CS 59000-037,Principles Program Languages,Xiangyu Zhang,spring
CS 59100-001,Security Seminar,Eugene H. Spafford,spring
CS 59100-002,Dist Systems & Netwkng Seminar,Sonia Fahmy,spring
CS 61500,Numerical Methods for Partial Differential Equations I,Bradley J. Lucier,spring
CS 63500,Capturing and Rendering Real-World Scenes,Daniel G. Aliaga,spring
CS 66200,Pattern Recognition And Decision-Making Processes,Mireille Boutin,spring
CS 69000-002,Adv Topics In Info Retrieval,spring
CS 69000-003,Advanced Visual Data Analysis,Xavier Tricoche,spring
CS 15800,C Programming,William N Crum,summer
CS 15900,Programming Applications For Engineers,William N Crum,summer
CS 17700,Programming With Multimedia Objects,summer
CS 23500,Introduction To Organizational Computing,summer
CS 31400,Numerical Methods,Gustavo Adolfo Junipero Rodriguez-rivera,summer
CS 11000,Introduction to Computers,Marta A. Crowe,fall
CS 15800,C Programming,William N Crum,fall
CS 15900,Programming Applications For Engineers,William N Crum,fall
CS 17700,Programming with Multimedia Objects,Lukasz S. Ziarek,fall
CS 18000,Programming I,Aditya P. Mathur,fall
CS 18200,Foundations of Computer Science,Ananth Grama,fall
CS 19100-LE1,Freshm Resources Semnr,William N Crum,fall
CS 23500,Introduction to Organizational Computing,fall
CS 24000,Programming in C,fall
CS 25000,Computer Architecture,Dongyan Xu,fall
CS 25100,Data Structures And Algorithms,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 25200,Systems Programming,fall
CS 29000-SLO,Service Learn Outreach,fall
CS 29100-LE1,Soph Developmt Seminar,William N Crum,fall
CS 30700,Software Engineering I,H. E. Dunsmore,fall
CS 31400,Numerical Methods,Elisha Sacks,fall
CS 34800,Information Systems,Bharat Bhargava,fall
CS 35200,Compilers: Principles and Practice,fall
CS 35400,Operating Systems,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 35500,Introduction to Cryptography,"Samuel S. Wagstaff, Jr.",fall
CS 38100,Introduction to the Analysis of Algorithms,Greg N. Frederickson,fall
CS 39000-CP0,Competitive Programming,fall
CS 39000-DMO,Data Mining & Machine Learning,Jennifer Neville,fall
